"Date","UserID","Action","Value1","Value2"
2018-03-01,"ID20000001","Install",NA,NA
2018-03-01,"ID10000002","Install",NA,NA
2018-03-01,"ID20000003","Install",NA,NA
2018-03-01,"ID10000004","Install",NA,NA
2018-03-01,"ID20000005","Install",NA,NA
2018-03-01,"ID20000006","Install",NA,NA
2018-03-01,"ID10000007","Install",NA,NA
2018-03-01,"ID10000008","Install",NA,NA
2018-03-01,"ID20000009","Install",NA,NA
2018-03-01,"ID10000010","Install",NA,NA
2018-03-01,"ID10000011","Install",NA,NA
2018-03-01,"ID20000012","Install",NA,NA
2018-03-01,"ID20000013","Install",NA,NA
2018-03-01,"ID10000014","Install",NA,NA
2018-03-01,"ID20000015","Install",NA,NA
2018-03-01,"ID10000016","Install",NA,NA
2018-03-01,"ID20000017","Install",NA,NA
2018-03-01,"ID10000018","Install",NA,NA
2018-03-01,"ID10000019","Install",NA,NA
2018-03-01,"ID20000020","Install",NA,NA
2018-03-01,"ID20000021","Install",NA,NA
2018-03-01,"ID20000022","Install",NA,NA
2018-03-01,"ID10000023","Install",NA,NA
2018-03-01,"ID20000024","Install",NA,NA
2018-03-01,"ID20000025","Install",NA,NA
2018-03-01,"ID10000026","Install",NA,NA
2018-03-01,"ID10000027","Install",NA,NA
2018-03-01,"ID10000028","Install",NA,NA
2018-03-01,"ID10000029","Install",NA,NA
2018-03-01,"ID10000030","Install",NA,NA
2018-03-01,"ID20000031","Install",NA,NA
2018-03-01,"ID20000032","Install",NA,NA
2018-03-01,"ID10000033","Install",NA,NA
2018-03-01,"ID10000034","Install",NA,NA
2018-03-01,"ID10000035","Install",NA,NA
2018-03-01,"ID20000036","Install",NA,NA
2018-03-01,"ID20000037","Install",NA,NA
2018-03-01,"ID10000038","Install",NA,NA
2018-03-01,"ID10000039","Install",NA,NA
2018-03-01,"ID20000040","Install",NA,NA
2018-03-01,"ID20000041","Install",NA,NA
2018-03-01,"ID10000042","Install",NA,NA
2018-03-01,"ID20000043","Install",NA,NA
2018-03-01,"ID10000044","Install",NA,NA
2018-03-01,"ID10000045","Install",NA,NA
2018-03-01,"ID20000046","Install",NA,NA
2018-03-01,"ID20000047","Install",NA,NA
2018-03-01,"ID20000048","Install",NA,NA
2018-03-01,"ID20000049","Install",NA,NA
2018-03-01,"ID20000032","Uninstall",NA,NA
2018-03-01,"ID20000005","Session",287.738958560573,0
2018-03-01,"ID20000009","Session",291.399753810987,0
2018-03-01,"ID10000010","Session",426.12792147082,0
2018-03-01,"ID20000012","Session",277.113442956318,0
2018-03-01,"ID20000013","Session",288.593017521696,0
2018-03-01,"ID10000014","Session",436.833598978337,0
2018-03-01,"ID10000018","Session",434.914430905749,0
2018-03-01,"ID20000020","Session",292.115403671008,0
2018-03-01,"ID20000022","Session",296.075262071104,0
2018-03-01,"ID20000024","Session",292.543998867631,0
2018-03-01,"ID10000026","Session",432.822429757918,0
2018-03-01,"ID10000028","Session",444.019693857678,0
2018-03-01,"ID20000031","Session",284.942890137449,0
2018-03-01,"ID10000034","Session",441.947378489347,0
2018-03-01,"ID20000036","Session",287.131925200586,0
2018-03-01,"ID20000037","Session",294.758113635861,0
2018-03-01,"ID10000038","Session",433.255395830732,0
2018-03-01,"ID20000041","Session",287.030034541396,0
2018-03-01,"ID10000044","Session",435.744456493248,30.484049268988
2018-03-01,"ID20000046","Session",295.180165072668,0
2018-03-01,"ID20000047","Session",289.820901104736,0
2018-03-02,"ID10000050","Install",NA,NA
2018-03-02,"ID10000051","Install",NA,NA
2018-03-02,"ID10000052","Install",NA,NA
2018-03-02,"ID10000053","Install",NA,NA
2018-03-02,"ID10000054","Install",NA,NA
2018-03-02,"ID20000055","Install",NA,NA
2018-03-02,"ID10000056","Install",NA,NA
2018-03-02,"ID10000057","Install",NA,NA
2018-03-02,"ID10000058","Install",NA,NA
2018-03-02,"ID10000059","Install",NA,NA
2018-03-02,"ID20000060","Install",NA,NA
2018-03-02,"ID10000061","Install",NA,NA
2018-03-02,"ID10000062","Install",NA,NA
2018-03-02,"ID20000063","Install",NA,NA
2018-03-02,"ID20000064","Install",NA,NA
2018-03-02,"ID10000065","Install",NA,NA
2018-03-02,"ID20000066","Install",NA,NA
